INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.686 | INFO  [localhost-startStop-1] [hybrisserver] ---  w: got web module, h: got HMC module ) 
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] core 6.0.0.0-SNAPSHOT [p*cib]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] testweb 6.0.0.0-SNAPSHOT [p*w]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] scripting 6.0.0.0-SNAPSHOT [p*ci]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] paymentstandard 6.0.0.0-SNAPSHOT [p*ci]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] mediaweb 6.0.0.0-SNAPSHOT [p*cw]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] maintenanceweb 6.0.0.0-SNAPSHOT [p*w]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] deliveryzone 6.0.0.0-SNAPSHOT [p*ci]
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.702 | INFO  [localhost-startStop-1] [hybrisserver] commons 6.0.0.0-SNAPSHOT [p*ci]
